Session: Session 1,,,
time,LM_2_O2,LM_2_RPM,LM_2_A1
(sec),(AFR),(RPM),(Volt)
53.90336,9.15,1140,1.07
53.98528,9.15,1150,1.08
54.06720,9.13,1150,1.08
54.14912,9.14,1160,1.08
54.23104,9.15,1160,1.07
54.31296,9.15,1160,1.07
54.39488,9.13,1160,1.07
54.47680,9.11,1160,1.07
54.55872,9.10,1160,1.07
54.64064,9.09,1160,1.07
54.72256,9.09,1160,1.07
54.80448,9.08,1160,1.06
54.88640,9.08,1160,1.05
54.96832,9.07,1160,1.04
55.05024,9.07,1160,1.03
55.13216,9.04,1160,1.02
55.21408,9.06,1160,1.01
55.29600,9.05,1160,1.00
55.37792,9.03,1150,0.99
55.45984,8.99,1150,0.99
55.54176,9.05,1140,0.99
55.62368,9.03,1140,0.99
55.70560,9.02,1130,0.98
55.78752,9.09,1130,0.98
55.86944,9.01,1120,0.98
55.95136,8.99,1120,0.98
56.03328,8.98,1110,0.97
56.11520,8.99,1110,0.97
56.19712,9.00,1100,0.97
56.27904,9.02,1100,0.97
56.36096,9.03,1090,0.97
56.44288,9.02,1090,0.97
56.52480,9.01,1080,0.96
56.60672,9.01,1080,0.96
56.68864,8.99,1070,0.96
56.77056,8.99,1070,0.96
56.85248,9.00,1060,0.95
56.93440,9.00,1060,0.95
57.01632,9.01,1060,0.95
57.09824,9.02,1060,0.96
57.18016,9.01,1060,0.96
57.26208,9.00,1060,0.96
57.34400,9.02,1050,0.96
57.42592,9.03,1050,0.96
57.50784,9.02,1050,0.95
57.58976,9.03,1050,0.95
57.67168,9.05,1050,0.95
57.75360,9.04,1050,0.95
57.83552,9.03,1050,0.95
57.91744,9.05,1050,0.95
57.99936,9.05,1050,0.94
58.08128,9.03,1050,0.94
58.16320,9.03,1050,0.94
58.24512,9.02,1050,0.91
58.32704,9.04,1050,0.87
58.40896,9.05,1040,0.74
58.49088,9.05,1030,0.60
58.57280,9.06,1030,0.59
58.65472,9.04,1030,0.59
58.73664,9.04,990,0.62
58.81856,9.07,940,0.65
58.90048,9.06,900,0.66
58.98240,9.03,850,0.68
59.06432,8.99,850,0.69
59.14624,9.01,850,0.70
59.22816,9.06,820,0.70
59.31008,9.13,790,0.70
59.39200,9.22,780,0.70
59.47392,9.28,760,0.69
59.55584,9.39,760,0.69
59.63776,9.45,760,0.69
59.71968,9.49,750,0.69
59.80160,9.46,740,0.68
59.88352,9.42,730,0.68
59.96544,9.33,720,0.68
60.04736,9.26,720,0.68
60.12928,9.19,720,0.68
60.21120,9.15,720,0.69
60.29312,9.11,710,0.69
60.37504,9.09,710,0.69
60.45696,9.07,700,0.69
60.53888,9.06,700,0.69
60.62080,9.06,700,0.70
60.70272,9.06,700,0.70
60.78464,9.07,690,0.70
60.86656,9.06,690,0.70
60.94848,9.06,680,0.70
61.03040,9.05,680,0.71
61.11232,9.06,680,0.71
61.19424,9.06,680,0.71
61.27616,9.06,680,0.71
61.35808,9.07,680,0.71
61.44000,9.08,670,0.71
61.52192,9.07,670,0.72
61.60384,9.07,670,0.73
61.68576,9.07,670,0.73
61.76768,9.07,660,0.73
61.84960,9.07,660,0.74
61.93152,9.06,650,0.74
62.01344,9.06,650,0.75
62.09536,9.05,650,0.76
62.17728,9.06,650,0.77
62.25920,9.07,640,0.78
62.34112,9.08,640,0.79
62.42304,9.08,630,0.79
62.50496,9.11,630,0.79
62.58688,9.12,630,0.79
62.66880,9.12,630,0.80
62.75072,9.13,620,0.81
62.83264,9.12,620,0.81
62.91456,9.13,610,0.81
62.99648,9.12,610,0.82
63.07840,9.13,610,0.83
63.16032,9.11,610,0.83
63.24224,9.06,600,0.83
63.32416,9.14,600,0.83
63.40608,9.14,600,0.82
63.48800,9.16,600,0.83
63.56992,9.16,600,0.83
63.65184,9.18,600,0.89
63.73376,9.19,600,0.96
63.81568,9.18,600,1.19
63.89760,9.19,600,1.43
63.97952,9.18,620,1.46
64.06144,9.17,630,1.49
64.14336,9.16,700,1.41
64.22528,9.13,770,1.33
64.30720,8.95,850,1.28
64.38912,8.78,930,1.23
64.47104,8.90,990,1.21
64.55296,9.15,1050,1.20
64.63488,9.36,1100,1.19
64.71680,9.44,1140,1.18
64.79872,9.43,1170,1.19
64.88064,9.36,1200,1.20
64.96256,9.31,1220,1.23
65.04448,9.28,1240,1.27
65.12640,9.26,1260,1.32
65.20832,9.25,1280,1.37
65.29024,9.23,1310,1.41
65.37216,9.22,1330,1.44
65.45408,9.23,1360,1.45
65.53600,9.23,1390,1.46
65.61792,9.24,1440,1.50
65.69984,9.24,1490,1.53
65.78176,9.24,1510,1.54
65.86368,9.27,1530,1.56
65.94560,9.25,1550,1.56
66.02752,9.23,1570,1.55
66.10944,9.22,1590,1.54
66.19136,9.20,1600,1.53
66.27328,9.18,1620,1.52
66.35520,9.13,1630,1.52
66.43712,9.08,1640,1.51
66.51904,9.04,1650,1.49
66.60096,9.01,1660,1.45
66.68288,8.98,1670,1.40
66.76480,8.96,1670,1.37
66.84672,8.93,1670,1.33
66.92864,8.90,1670,1.30
67.01056,8.89,1660,1.26
67.09248,8.89,1650,1.19
67.17440,8.91,1640,1.13
67.25632,8.94,1620,1.09
67.33824,8.92,1600,1.06
67.42016,8.91,1570,1.04
67.50208,8.90,1530,1.01
67.58400,8.90,1490,1.03
67.66592,8.90,1450,1.04
67.74784,8.90,1420,1.04
67.82976,8.90,1390,1.04
67.91168,8.94,1370,1.03
67.99360,8.96,1340,1.03
68.07552,8.96,1320,1.02
68.15744,8.94,1300,1.01
68.23936,8.93,1290,0.96
68.32128,8.95,1270,0.91
68.40320,8.95,1250,0.78
68.48512,8.96,1220,0.65
68.56704,8.96,1180,0.59
68.64896,8.95,1140,0.52
68.73088,8.94,1090,0.55
68.81280,8.94,1030,0.57
68.89472,8.95,1030,0.59
68.97664,8.96,1030,0.62
69.05856,8.97,980,0.63
69.14048,8.99,930,0.64
69.22240,9.01,900,0.65
69.30432,9.06,860,0.65
69.38624,9.14,860,0.66
69.46816,9.22,860,0.66
69.55008,9.27,840,0.67
69.63200,9.34,810,0.67
69.71392,9.41,800,0.67
69.79584,9.45,780,0.67
69.87776,9.46,780,0.67
69.95968,9.42,780,0.67
70.04160,9.34,770,0.67
70.12352,9.23,760,0.67
70.20544,9.16,750,0.68
70.28736,9.08,740,0.68
70.36928,9.04,740,0.68
70.45120,9.02,740,0.68
70.53312,9.02,730,0.68
70.61504,9.03,720,0.68
70.69696,9.03,720,0.69
70.77888,9.03,710,0.69
70.86080,9.04,710,0.69
70.94272,9.04,710,0.69
71.02464,9.05,710,0.69
71.10656,9.04,700,0.69
71.18848,9.02,700,0.70
71.27040,9.03,690,0.71
71.35232,9.04,690,0.72
71.43424,9.05,690,0.73
71.51616,9.07,680,0.74
71.59808,9.08,670,0.75
71.68000,9.10,670,0.75
71.76192,9.10,660,0.76
71.84384,9.11,660,0.77
71.92576,9.13,660,0.77
72.00768,9.14,650,0.78
72.08960,9.15,640,0.78
72.17152,9.15,640,0.79
72.25344,9.15,630,0.79
